"Practice","RT","accuracy","block","cond","condition","correct","correct_keyboard_response","correct_response","experiment_path","fixation_dur","keyboard_backend","mouse_backend","overall_accuracy","response_keyboard_response","response_time_keyboard_response","running_accuracy","stim_type","stimulus","subject_nr","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"Yes","1995","1","0","Pseudo","3","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","558","legacy","xpyriment","0.5","m","1995","NA","NA","bagden","1","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","43144","0","NA","NA","NA","0","NA","0","0","0","45140","43144","NA","0","LexicalDecision"
"Yes","1025","1","0","HF","1","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","554","legacy","xpyriment","0.5","n","1025","NA","NA","twaalf","1","NA","0","NA","NA","NA","NA","0","NA","NA","NA","45234","45233","0","45791","0","NA","NA","NA","0","NA","0","0","0","46817","45791","NA","45233","LexicalDecision"
"Yes","2000","0","0","LF","2","0","0","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","506","legacy","xpyriment","0.5","None","2000","NA","NA","sterkten","1","NA","0","NA","NA","NA","NA","0","NA","NA","49434","46902","46901","0","47411","0","NA","NA","NA","0","NA","0","0","0","49411","47411","NA","46901","LexicalDecision"
"Yes","1133","1","0","Random","4","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","396","legacy","xpyriment","0.5","m","1133","NA","NA","jkbees","1","NA","0","NA","NA","NA","NA","0","NA","NA","49434","51539","51538","0","51938","0","NA","NA","NA","0","NA","0","0","0","53072","51938","NA","51538","LexicalDecision"
"Yes","895","1","0","HF","1","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","433","legacy","xpyriment","0.5","n","895","NA","NA","stad","1","NA","0","NA","NA","NA","NA","0","NA","NA","49434","53160","53159","0","53596","0","NA","NA","NA","0","NA","0","0","0","54492","53595","NA","53159","LexicalDecision"
"Yes","899","1","0","Random","4","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","434","legacy","xpyriment","0.5","m","899","NA","NA","alevr","1","NA","0","NA","NA","NA","NA","0","NA","NA","49434","54578","54577","0","55015","0","NA","NA","NA","0","NA","0","0","0","55915","55015","NA","54577","LexicalDecision"
"Yes","829","1","0","LF","2","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","561","legacy","xpyriment","0.5","n","829","NA","NA","kloofje","1","NA","0","NA","NA","NA","NA","0","NA","NA","49434","56000","55999","0","56563","0","NA","NA","NA","0","NA","0","0","0","57393","56563","NA","55998","LexicalDecision"
"Yes","1512","1","0","Pseudo","3","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","428","legacy","xpyriment","0.5","m","1512","NA","NA","partie","1","NA","0","NA","NA","NA","NA","0","NA","NA","49434","57478","57477","0","57908","0","NA","NA","NA","0","NA","0","0","0","59421","57907","NA","57477","LexicalDecision"
"No","734","1","1","Random","4","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","434","legacy","xpyriment","1.0","m","734","1.0","easy","ajaelsg","1","105683","0","105741","NA","NA","NA","0","115800","105738","49434","115853","115852","0","116325","0","105738","115796","NA","0","NA","0","0","115005","117059","57907","NA","115852","LexicalDecision"
"No","623","1","1","LF","2","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","587","legacy","xpyriment","1.0","n","623","1.0","hard","hekjes","1","105683","0","105741","NA","NA","NA","0","115800","105738","49434","117144","117143","0","117764","0","105738","115796","NA","0","NA","0","0","115005","118388","57907","NA","117143","LexicalDecision"
