"Practice","RT","accuracy","block","cond","condition","correct","correct_keyboard_response","correct_response","experiment_path","fixation_dur","keyboard_backend","mouse_backend","overall_accuracy","response_keyboard_response","response_time_keyboard_response","running_accuracy","stim_type","stimulus","subject_nr","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"Yes","2000","0","0","Pseudo","3","0","0","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","488","legacy","xpyriment","0.5","None","2000","NA","NA","beeke","2","NA","0","NA","NA","NA","NA","0","NA","NA","38652","0","0","0","36629","0","NA","NA","NA","0","NA","0","0","0","38629","36629","NA","0","LexicalDecision"
"Yes","8","0","0","Random","4","0","0","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","528","legacy","xpyriment","0.5","n","8","NA","NA","robtu","2","NA","0","NA","NA","NA","NA","0","NA","NA","41347","40772","40770","0","41303","0","NA","NA","NA","0","NA","0","0","0","41313","41303","NA","40770","LexicalDecision"
"Yes","1144","0","0","Pseudo","3","0","0","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","584","legacy","xpyriment","0.5","n","1144","NA","NA","kijten","2","NA","0","NA","NA","NA","NA","0","NA","NA","45206","43451","43450","0","44038","0","NA","NA","NA","0","NA","0","0","0","45183","44037","NA","43450","LexicalDecision"
"Yes","629","1","0","Random","4","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","543","legacy","xpyriment","0.5","m","629","NA","NA","jlsueki","2","NA","0","NA","NA","NA","NA","0","NA","NA","45206","47323","47322","0","47869","0","NA","NA","NA","0","NA","0","0","0","48499","47869","NA","47322","LexicalDecision"
"Yes","835","1","0","HF","1","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","475","legacy","xpyriment","0.5","n","835","NA","NA","destijds","2","NA","0","NA","NA","NA","NA","0","NA","NA","45206","48584","48582","0","49062","0","NA","NA","NA","0","NA","0","0","0","49898","49062","NA","48582","LexicalDecision"
"Yes","738","1","0","HF","1","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","506","legacy","xpyriment","0.5","n","738","NA","NA","schoenen","2","NA","0","NA","NA","NA","NA","0","NA","NA","45206","49982","49981","0","50492","0","NA","NA","NA","0","NA","0","0","0","51231","50492","NA","49981","LexicalDecision"
"Yes","523","1","0","LF","2","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","544","legacy","xpyriment","0.5","n","523","NA","NA","polsjes","2","NA","0","NA","NA","NA","NA","0","NA","NA","45206","51316","51315","0","51864","0","NA","NA","NA","0","NA","0","0","0","52388","51863","NA","51315","LexicalDecision"
"Yes","497","1","0","LF","2","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","592","legacy","xpyriment","0.5","n","497","NA","NA","tekstje","2","NA","0","NA","NA","NA","NA","0","NA","NA","45206","52473","52471","0","53068","0","NA","NA","NA","0","NA","0","0","0","53566","53067","NA","52471","LexicalDecision"
"No","496","1","1","HF","1","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","579","legacy","xpyriment","1.0","n","496","1.0","easy","blijven","2","55734","0","55792","NA","NA","NA","0","62357","55789","45206","62411","62409","0","63026","0","55789","62352","NA","0","NA","0","0","61353","63523","53067","NA","62409","LexicalDecision"
"No","467","1","1","HF","1","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","416","legacy","xpyriment","1.0","n","467","1.0","easy","landen","2","55734","0","55792","NA","NA","NA","0","62357","55789","45206","63609","63608","0","64057","0","55789","62352","NA","0","NA","0","0","61353","64525","53067","NA","63608","LexicalDecision"
