"Practice","RT","accuracy","block","cond","condition","correct","correct_keyboard_response","correct_response","experiment_path","fixation_dur","keyboard_backend","mouse_backend","overall_accuracy","response_keyboard_response","response_time_keyboard_response","running_accuracy","stim_type","stimulus","subject_nr","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"Yes","635","1","0","Random","4","1","1","m","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","475","legacy","xpyriment","0.5","m","635","NA","NA","sgao't","4","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","48693","0","NA","NA","NA","0","NA","0","0","0","49329","48693","NA","0","LexicalDecision"
"Yes","2000","0","0","HF","1","0","0","n","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","560","legacy","xpyriment","0.5","None","2000","NA","NA","melk","4","NA","0","NA","NA","NA","NA","0","NA","NA","52645","49917","49896","0","50482","0","NA","NA","NA","0","NA","0","0","0","52482","50482","NA","49895","LexicalDecision"
"Yes","713","1","0","Random","4","1","1","m","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","572","legacy","xpyriment","0.5","m","713","NA","NA","snajaled","4","NA","0","NA","NA","NA","NA","0","NA","NA","52645","55230","55209","0","55806","0","NA","NA","NA","0","NA","0","0","0","56520","55805","NA","55209","LexicalDecision"
"Yes","423","1","0","HF","1","1","1","n","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","588","legacy","xpyriment","0.5","n","423","NA","NA","welk","4","NA","0","NA","NA","NA","NA","0","NA","NA","52645","57109","57088","0","57702","0","NA","NA","NA","0","NA","0","0","0","58126","57702","NA","57087","LexicalDecision"
"Yes","457","1","0","Pseudo","3","1","1","m","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","450","legacy","xpyriment","0.5","m","457","NA","NA","sota","4","NA","0","NA","NA","NA","NA","0","NA","NA","52645","58712","58692","0","59166","0","NA","NA","NA","0","NA","0","0","0","59624","59166","NA","58691","LexicalDecision"
"Yes","425","1","0","LF","2","1","1","n","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","569","legacy","xpyriment","0.5","n","425","NA","NA","games","4","NA","0","NA","NA","NA","NA","0","NA","NA","52645","60181","60165","0","60754","0","NA","NA","NA","0","NA","0","0","0","61180","60754","NA","60165","LexicalDecision"
"Yes","545","0","0","Pseudo","3","0","0","m","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","492","legacy","xpyriment","0.5","n","545","NA","NA","beploot","4","NA","0","NA","NA","NA","NA","0","NA","NA","62992","61802","61779","0","62299","0","NA","NA","NA","0","NA","0","0","0","62845","62299","NA","61778","LexicalDecision"
"Yes","546","1","0","LF","2","1","1","n","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","466","legacy","xpyriment","0.5","n","546","NA","NA","gala","4","NA","0","NA","NA","NA","NA","0","NA","NA","62992","65568","65548","0","66039","0","NA","NA","NA","0","NA","0","0","0","66586","66039","NA","65547","LexicalDecision"
"No","886","1","1","Pseudo","3","1","1","m","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","508","legacy","xpyriment","1.0","m","886","1.0","hard","verdoord","4","77683","0","78034","NA","NA","NA","0","90186","78018","62992","90615","90593","0","91271","0","78018","90161","NA","0","NA","0","0","89006","92157","66039","NA","90592","LexicalDecision"
"No","649","1","1","LF","2","1","1","n","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","412","legacy","xpyriment","1.0","n","649","1.0","hard","delta's","4","77683","0","78034","NA","NA","NA","0","90186","78018","62992","92742","92722","0","93311","0","78018","90161","NA","0","NA","0","0","89006","93961","66039","NA","92721","LexicalDecision"
