"Practice","RT","accuracy","block","cond","condition","correct","correct_keyboard_response","correct_response","experiment_path","fixation_dur","keyboard_backend","mouse_backend","overall_accuracy","response_keyboard_response","response_time_keyboard_response","running_accuracy","stim_type","stimulus","subject_nr","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"Yes","749","1","0","Random","4","1","1","m","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","538","legacy","xpyriment","0.5","m","749","NA","NA","korargla","5","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","32536","0","NA","NA","NA","0","NA","0","0","0","33286","32536","NA","0","LexicalDecision"
"Yes","880","1","0","Pseudo","3","1","1","m","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","559","legacy","xpyriment","0.5","m","880","NA","NA","seten","5","NA","0","NA","NA","NA","NA","0","NA","NA","NA","33876","33853","0","34439","0","NA","NA","NA","0","NA","0","0","0","35320","34439","NA","33852","LexicalDecision"
"Yes","830","1","0","Pseudo","3","1","1","m","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","401","legacy","xpyriment","0.5","m","830","NA","NA","belied","5","NA","0","NA","NA","NA","NA","0","NA","NA","NA","35906","35883","0","36312","0","NA","NA","NA","0","NA","0","0","0","37143","36312","NA","35882","LexicalDecision"
"Yes","804","1","0","LF","2","1","1","n","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","455","legacy","xpyriment","0.5","n","804","NA","NA","druifjes","5","NA","0","NA","NA","NA","NA","0","NA","NA","NA","37728","37707","0","38188","0","NA","NA","NA","0","NA","0","0","0","38993","38188","NA","37706","LexicalDecision"
"Yes","725","1","0","LF","2","1","1","n","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","487","legacy","xpyriment","0.5","n","725","NA","NA","stekel","5","NA","0","NA","NA","NA","NA","0","NA","NA","NA","39587","39564","0","40079","0","NA","NA","NA","0","NA","0","0","0","40805","40079","NA","39563","LexicalDecision"
"Yes","676","1","0","Random","4","1","1","m","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","482","legacy","xpyriment","0.5","m","676","NA","NA","kljetee","5","NA","0","NA","NA","NA","NA","0","NA","NA","NA","41391","41370","0","41877","0","NA","NA","NA","0","NA","0","0","0","42553","41877","NA","41369","LexicalDecision"
"Yes","711","1","0","HF","1","1","1","n","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","529","legacy","xpyriment","0.5","n","711","NA","NA","normen","5","NA","0","NA","NA","NA","NA","0","NA","NA","NA","43131","43110","0","43664","0","NA","NA","NA","0","NA","0","0","0","44376","43664","NA","43109","LexicalDecision"
"Yes","1299","1","0","HF","1","1","1","n","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","559","legacy","xpyriment","0.5","n","1299","NA","NA","leiding","5","NA","0","NA","NA","NA","NA","0","NA","NA","NA","44964","44942","0","45528","0","NA","NA","NA","0","NA","0","0","0","46828","45528","NA","44941","LexicalDecision"
"No","716","1","1","Random","4","1","1","m","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","426","legacy","xpyriment","1.0","m","716","1.0","easy","acarabne","5","48654","0","49010","NA","NA","NA","0","56261","48992","NA","56694","56674","0","57276","0","48992","56240","NA","0","NA","0","0","55194","57993","45528","NA","56673","LexicalDecision"
"No","758","1","1","LF","2","1","1","n","C:/Users/hulsm/Documents/School/Methods_CCS/Lexical_descision","454","legacy","xpyriment","1.0","n","758","1.0","hard","kuddes","5","48654","0","49010","NA","NA","NA","0","56261","48992","NA","58598","58576","0","59204","0","48992","56240","NA","0","NA","0","0","55194","59963","45528","NA","58575","LexicalDecision"
