"Practice","RT","accuracy","block","cond","condition","correct","correct_keyboard_response","correct_response","experiment_path","fixation_dur","keyboard_backend","mouse_backend","overall_accuracy","response_keyboard_response","response_time_keyboard_response","running_accuracy","stim_type","stimulus","subject_nr","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"Yes","915","1","0","Random","4","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","578","legacy","xpyriment","0.5","m","915","NA","NA","korargla","3","NA","0","NA","NA","NA","NA","0","NA","NA","NA","0","0","0","44905","0","NA","NA","NA","0","NA","0","0","0","45821","44904","NA","0","LexicalDecision"
"Yes","598","1","0","LF","2","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","466","legacy","xpyriment","0.5","n","598","NA","NA","wijntjes","3","NA","0","NA","NA","NA","NA","0","NA","NA","NA","45912","45911","0","46381","0","NA","NA","NA","0","NA","0","0","0","46980","46381","NA","45911","LexicalDecision"
"Yes","788","1","0","Random","4","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","487","legacy","xpyriment","0.5","m","788","NA","NA","ojjo","3","NA","0","NA","NA","NA","NA","0","NA","NA","NA","47062","47061","0","47553","0","NA","NA","NA","0","NA","0","0","0","48342","47552","NA","47061","LexicalDecision"
"Yes","707","1","0","HF","1","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","580","legacy","xpyriment","0.5","n","707","NA","NA","haalt","3","NA","0","NA","NA","NA","NA","0","NA","NA","NA","48425","48424","0","49009","0","NA","NA","NA","0","NA","0","0","0","49717","49008","NA","48424","LexicalDecision"
"Yes","548","1","0","Pseudo","3","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","484","legacy","xpyriment","0.5","m","548","NA","NA","rarde","3","NA","0","NA","NA","NA","NA","0","NA","NA","NA","49801","49799","0","50288","0","NA","NA","NA","0","NA","0","0","0","50837","50288","NA","49799","LexicalDecision"
"Yes","741","1","0","HF","1","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","464","legacy","xpyriment","0.5","n","741","NA","NA","samen","3","NA","0","NA","NA","NA","NA","0","NA","NA","NA","50921","50920","0","51388","0","NA","NA","NA","0","NA","0","0","0","52130","51388","NA","50920","LexicalDecision"
"Yes","635","1","0","Pseudo","3","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","536","legacy","xpyriment","0.5","m","635","NA","NA","lart","3","NA","0","NA","NA","NA","NA","0","NA","NA","NA","52213","52212","0","52755","0","NA","NA","NA","0","NA","0","0","0","53390","52755","NA","52212","LexicalDecision"
"Yes","792","0","0","LF","2","0","0","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","549","legacy","xpyriment","0.5","m","792","NA","NA","cobra's","3","NA","0","NA","NA","NA","NA","0","NA","NA","54841","53475","53474","0","54027","0","NA","NA","NA","0","NA","0","0","0","54819","54027","NA","53474","LexicalDecision"
"No","666","1","1","Pseudo","3","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","559","legacy","xpyriment","1.0","m","666","1.0","hard","brap","3","57700","0","57754","NA","NA","NA","0","68090","57753","54841","68145","68144","0","68738","0","57753","68086","NA","0","NA","0","0","66660","69405","54027","NA","68144","LexicalDecision"
"No","644","1","1","LF","2","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","539","legacy","xpyriment","1.0","n","644","1.0","hard","trutje","3","57700","0","57754","NA","NA","NA","0","68090","57753","54841","69489","69488","0","70062","0","57753","68086","NA","0","NA","0","0","66660","70707","54027","NA","69488","LexicalDecision"
"No","595","1","1","LF","2","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","581","legacy","xpyriment","1.0","n","595","1.0","hard","stortbui","3","57700","0","57754","NA","NA","NA","0","68090","57753","54841","70792","70791","0","71407","0","57753","68086","NA","0","NA","0","0","66660","72003","54027","NA","70791","LexicalDecision"
"No","497","1","1","LF","2","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","531","legacy","xpyriment","1.0","n","497","1.0","hard","sleetje","3","57700","0","57754","NA","NA","NA","0","68090","57753","54841","72087","72086","0","72656","0","57753","68086","NA","0","NA","0","0","66660","73154","54027","NA","72086","LexicalDecision"
"No","610","1","1","Pseudo","3","1","1","m","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","517","legacy","xpyriment","1.0","m","610","1.0","hard","lamen","3","57700","0","57754","NA","NA","NA","0","68090","57753","54841","73237","73236","0","73794","0","57753","68086","NA","0","NA","0","0","66660","74404","54027","NA","73236","LexicalDecision"
"No","528","1","1","HF","1","1","1","n","/Users/florinecramer/Desktop/CCS 1/Methods in CCS/Methods_in_CCS","443","legacy","xpyriment","1.0","n","528","1.0","easy","beste","3","57700","0","57754","NA","NA","NA","0","68090","57753","54841","74488","74487","0","74964","0","57753","68086","NA","0","NA","0","0","66660","75493","54027","NA","74487","LexicalDecision"
